sample_id,prob_up,label_up,pred_tail,correct_tail,forward_return,foreground_heat,background_heat,focus_group,contract,anchor_ts
17798,0.3362557291984558,1,0,0,0.011764561105573446,0.09511105716228485,0.904888927936554,background_focused,SiZ5,2025-10-30 08:45:00
17799,0.35029521584510803,1,0,0,0.00992360787010882,0.10175938159227371,0.8982407450675964,background_focused,SiZ5,2025-10-30 09:00:00
17800,0.3084125816822052,1,0,0,0.00957459850435205,0.09233750402927399,0.9076623916625977,background_focused,SiZ5,2025-10-30 09:15:00
17801,0.3257395923137665,1,0,0,0.005456992536400307,0.06518509238958359,0.9348149299621582,background_focused,SiZ5,2025-10-30 09:30:00
17802,0.31017714738845825,1,0,0,0.0038409785932722595,0.0551007017493248,0.9448992609977722,background_focused,SiZ5,2025-10-30 09:45:00
17803,0.27788716554641724,1,0,0,0.005861549945544997,0.06738204509019852,0.9326179027557373,background_focused,SiZ5,2025-10-30 10:00:00
17804,0.25441861152648926,1,0,0,0.002025353521796891,0.05927083268761635,0.9407291412353516,background_focused,SiZ5,2025-10-30 10:15:00
17911,0.32435688376426697,1,0,0,0.0005988243489312151,0.07774265110492706,0.9222573637962341,background_focused,SiZ5,2025-11-01 16:30:00
17912,0.2598971724510193,1,0,0,0.0008190308542368463,0.07751698046922684,0.9224830269813538,background_focused,SiZ5,2025-11-01 16:45:00
17913,0.256233811378479,1,0,0,0.0012962238309528473,0.08427738398313522,0.915722668170929,background_focused,SiZ5,2025-11-01 17:00:00
17914,0.2745695114135742,1,0,0,0.0010879397599197205,0.07593178749084473,0.9240681529045105,background_focused,SiZ5,2025-11-01 17:15:00
17915,0.3424992561340332,1,0,0,0.0016636899664814742,0.07367336004972458,0.9263266324996948,background_focused,SiZ5,2025-11-01 17:30:00
17917,0.31154653429985046,1,0,0,0.0007943394151217475,0.08154790848493576,0.9184520840644836,background_focused,SiZ5,2025-11-01 18:00:00
17919,0.35025882720947266,1,0,0,0.0005500213897207118,0.07955676317214966,0.9204431772232056,background_focused,SiZ5,2025-11-01 18:30:00
17920,0.3122921884059906,1,0,0,0.000818770622021292,0.07606450468301773,0.9239355325698853,background_focused,SiZ5,2025-11-01 18:45:00
17968,0.7678325772285461,1,1,1,0.00805684893103531,0.04344112053513527,0.956558883190155,background_focused,SiZ5,2025-11-05 10:15:00
17987,0.7783486843109131,1,1,1,0.0016084947875094624,0.035415634512901306,0.9645843505859375,background_focused,SiZ5,2025-11-05 15:00:00
17988,0.772554337978363,1,1,1,0.0013905178772233295,0.03751273453235626,0.9624873399734497,background_focused,SiZ5,2025-11-05 15:15:00
17989,0.7711353898048401,1,1,1,0.0019353590090962491,0.03934507071971893,0.9606549143791199,background_focused,SiZ5,2025-11-05 15:30:00
17991,0.7748690247535706,1,1,1,0.0023486114137671876,0.03459160029888153,0.965408444404602,background_focused,SiZ5,2025-11-05 16:00:00
17992,0.7705716490745544,1,1,1,0.0029437774843421582,0.03793659061193466,0.9620634913444519,background_focused,SiZ5,2025-11-05 16:15:00
17993,0.7730623483657837,1,1,1,0.0031751802702539855,0.0378074124455452,0.9621925354003906,background_focused,SiZ5,2025-11-05 16:30:00
